province,num_acc,num_injuries
Chachoengsao,2,0
Chiang Mai,1,1
Loei,1,0
Nakhon Ratchasima,1,1
Bangkok,1,0
Nakhon Si Thammarat,1,0
Nakhon Ratchasima,2,0
Samut Prakan,2,2
Nonthaburi,1,1
Chonburi,1,1
Surat Thani,4,0
Kamphaeng Phet,1,0
Prachuap Khiri Khan,1,0
Bueng Kan,2,0
Satun,3,0
Narathiwat,1,1
Chumphon,3,3
Surat Thani,1,1
Chiang Mai,2,1
Phetchabun,2,1
Khon Kaen,2,0
Songkhla,1,0
Bangkok,1,1
Yasothon,2,1
Yala,2,1
Yala,1,0
Chonburi,2,1
Chonburi,2,3
Chiang Rai,2,0
Nong Khai,1,1
Lopburi,1,1
Songkhla,1,1
Surin,2,1
Prachuap Khiri Khan,2,0
Uthai Thani,1,1
Uthai Thani,1,1
Yala,2,1
Nakhon Ratchasima,1,1
Tak,1,0
Phra Nakhon Si Ayutthaya,1,0
Surin,2,1
Nakhon Pathom,1,1
Nakhon Si Thammarat,1,1
Songkhla,1,1
Phra Nakhon Si Ayutthaya,1,0
Kalasin,1,1
Lopburi,1,1
Bangkok,2,1
Nakhon Sawan,2,2
Trang,1,0
Nakhon Si Thammarat,2,1
Phitsanulok,1,0
Ang Thong,2,3
Chaiyaphum,2,1
Nakhon Nayok,2,2
Phuket,1,1
Nong Khai,2,1
Nakhon Phanom,1,1
Ubon Ratchathani,1,0
Phatthalung,2,0
Lamphun,1,1
Rayong,2,0
Surin,1,0
Mukdahan,2,2
Tak,2,1
Nakhon Ratchasima,1,1
Chiang Mai,2,0
Samut Prakan,2,0
Nonthaburi,2,2
Narathiwat,2,0
Chiang Rai,1,0
Samut Prakan,2,0
Nakhon Nayok,2,0
Tak,2,1
Kanchanaburi,1,1
Chiang Mai,2,0
Ang Thong,1,5
Khon Kaen,1,0
Loei,2,1
Chainat,1,1
Kamphaeng Phet,2,0
Chiang Mai,2,2
Nakhon Sawan,2,2
Narathiwat,1,1
Kalasin,1,1
Mukdahan,2,2
Narathiwat,1,1
Trang,2,1
Kanchanaburi,1,1
Chainat,3,0
Prachuap Khiri Khan,2,1
Yasothon,1,0
Nakhon Si Thammarat,2,2
Phra Nakhon Si Ayutthaya,2,1
Krabi,2,6
Sukhothai,2,1
Nakhon Ratchasima,2,1
Suphan Buri,2,1
Samut Songkhram,2,1
Kanchanaburi,2,1
Pathum Thani,1,1
Nakhon Ratchasima,2,1
Trat,2,1
Lamphun,2,1
Phuket,2,2
Chaiyaphum,2,4
Samut Sakhon,2,0
Chiang Mai,2,2
Lopburi,4,2
Nan,2,1
Sakon Nakhon,2,1
Phayao,1,2
Buriram,1,0
Trang,1,1
Nakhon Ratchasima,1,1
Mukdahan,2,1
Chainat,1,1
Sa Kaeo,1,1
Sing Buri,1,0
Krabi,1,0
Lopburi,2,1
Phayao,2,1
Phrae,1,0
Phatthalung,1,2
Phra Nakhon Si Ayutthaya,2,1
Phatthalung,2,1
Nakhon Nayok,1,0
Narathiwat,1,1
Suphan Buri,2,0
Surat Thani,2,1
Samut Sakhon,1,1
Chiang Mai,2,0
Samut Prakan,2,2
Khon Kaen,3,0
Udon Thani,1,1
Songkhla,2,0
Udon Thani,1,1
Ubon Ratchathani,2,0
Sukhothai,2,1
Chainat,2,1
Nakhon Sawan,2,1
Surat Thani,1,2
Kalasin,2,1
Songkhla,1,1
Phichit,2,1
Chanthaburi,1,1
Samut Sakhon,1,1
Lopburi,2,2
Nakhon Ratchasima,1,1
Pathum Thani,1,1
Phuket,1,1
Roi Et,1,1
Chiang Mai,2,0
Khon Kaen,1,1
Phichit,1,1
Chonburi,1,1
Nong Bua Lamphu,1,0
Phra Nakhon Si Ayutthaya,1,0
Kanchanaburi,2,1
Sukhothai,2,0
Lamphun,1,1
Chiang Mai,2,0
Phatthalung,1,0
Trang,3,2
Chaiyaphum,1,1
Chumphon,1,0
Nan,2,0
Samut Sakhon,1,0
Sakon Nakhon,2,0
Bangkok,2,1
Chiang Mai,2,0
Chainat,1,0
Lopburi,1,0
Bangkok,1,0
Krabi,1,1
Samut Prakan,3,1
Samut Prakan,2,0
Nakhon Ratchasima,4,2
Phang Nga,1,1
Chachoengsao,2,0
Chaiyaphum,1,0
Phrae,1,1
Lampang,1,2
Samut Prakan,1,0
Nakhon Ratchasima,1,2
Phitsanulok,1,1
Ratchaburi,1,1
Nakhon Si Thammarat,2,1
Nakhon Si Thammarat,2,0
Udon Thani,1,1
Rayong,2,1
Chanthaburi,1,1
Mukdahan,2,2
Nakhon Ratchasima,1,0
Nakhon Ratchasima,1,1
Tak,1,0
Bueng Kan,2,1
Songkhla,1,1
Lamphun,1,0
Chiang Rai,2,1
Prachuap Khiri Khan,3,6
Nan,1,0
Bangkok,2,0
Phatthalung,2,1
Prachuap Khiri Khan,1,0
Chiang Mai,2,0
Sakon Nakhon,1,0
Lampang,1,0
Nong Khai,1,0
Phatthalung,1,0
Bangkok,1,1
Nakhon Ratchasima,1,0
Udon Thani,2,1
Surin,1,0
Sukhothai,2,2
Phra Nakhon Si Ayutthaya,1,0
Suphan Buri,2,1
Udon Thani,1,0
Chanthaburi,2,1
Phetchabun,2,1
Tak,2,0
Pathum Thani,1,0
Bangkok,1,0
Sukhothai,1,0
Phrae,2,1
Khon Kaen,1,0
Phayao,2,1
Phetchabun,2,0
Bueng Kan,1,1
Chiang Mai,2,0
Nakhon Sawan,1,0
Chumphon,2,4
Phra Nakhon Si Ayutthaya,2,0
Bangkok,2,1
Udon Thani,2,0
Prachinburi,1,0
Bangkok,1,0
Nakhon Sawan,4,2
Prachuap Khiri Khan,2,0
Pathum Thani,1,0
Bueng Kan,2,1
Bangkok,2,0
Sukhothai,2,1
Lopburi,1,0
Phetchabun,2,1
Chiang Mai,2,0
Ang Thong,1,1
Buriram,2,0
Tak,1,0
Surat Thani,2,1
Tak,2,2
Nakhon Ratchasima,1,1
Sing Buri,2,0
Chiang Rai,1,0
Sa Kaeo,4,7
Samut Songkhram,1,1
Nan,2,0
Samut Prakan,1,0
Phayao,1,0
Samut Prakan,1,1
Kanchanaburi,1,1
